Radar Station | produced by | National Film Board of Canada
Autostrada Brescia Verona Vicenza Padova | operates | Brescia–Padua section of Autostrada A4
Autostrada Brescia Verona Vicenza Padova | operates | Autostrada A22
A4 Holding S.p.A | has equity interest in | Autostrada del Brennero
Autostrada del Brennero | operates | Autostrada A22
A4 Holding S.p.A | owns | Serenissima Partecipazioni
A4 Holding S.p.A | has equity interest in | Autostrade Lombarde
Autostrade Lombarde | parent company of | operator of Autostrada A35
Skelly Oil Company | founded in | 1919
Skelly Oil Company | founded by | William Grove  Skelly
Skelly Oil Company | founded by | Chesley Coleman Herndon
Skelly Oil Company | founded by | Frederick A. Pielsticker
J. Paul Getty | acquired | Skelly Oil Company
Skelly Oil Company | became part of | Getty Oil Company
Skelly Oil Company | became part of | Mission Oil Company
Skelly Oil Company | became part of | Tidewater Oil Company
Skelly Oil Company | defunct in | 1974
Skelly Oil Company | absorbed by | Getty Oil Company
Skelly brand logo | revived by | Nimmons-Joliet Development Corp
Skelly brand logo | revived in | 2012
Robert Earl Holding | nationality | American
Robert Earl Holding | occupation | businessman
Robert Earl Holding | owns | Sinclair Oil Corporation
Robert Earl Holding | owns | Little America motel
Robert Earl Holding | owns | Grand America Hotel
Robert Earl Holding | owns | Westgate Hotel
Robert Earl Holding | owns | Sun Valley
Robert Earl Holding | owns | Snowbasin
Sun Valley | location | central Idaho
Ahvaz oil field | discovery date | 1953
Ahvaz oil field | developed by | National Iranian Oil Company
Ahvaz oil field | production start date | 1954
Ahvaz oil field | owned by | National Iranian Oil Company
Ahvaz oil field | operated by | National Iranian Oil Company
Ahvaz oil field | production capacity | 180000 oilbbl/d
Little America | located in | Sweetwater County
Little America | located in | Wyoming
Little America | named after | Little America motel
Little America motel | located in | remote location
Little America motel | inspired by | Richard E. Byrd's base camp
Little America | developed by | Robert Earl Holding
Robert Earl Holding | net worth | over $3 billion
Aghajari oil field | located in | Khuzestan Province
Aghajari oil field | discovered in | 1938
Aghajari oil field | developed by | National Iranian Oil Company
Aghajari oil field | began production in | 1940
Aghajari oil field | produces | oil
Aghajari oil field | proven reserves | 30 billion barrels
Aghajari oil field | production rate | 180000 oilbbl/d
Aghajari oil field | owned by | National Iranian Oil Company
Aghajari oil field | operated by | National Iranian Oil Company
Carabobo | is_a | Ahvaz oil field
Carabobo | located_in | Orinoco Belt
Orinoco Belt | located_in | Venezuela
Orinoco Belt | has | world's largest accumulations of recoverable oil
Venezuela | has | world's largest recoverable reserves
Venezuela | surpassed | Saudi Arabia
Carabobo | majority_owned_by | Petroleos de Venezuela SA
PDVSA | owns | majority of the Orinoco Belt
Orinoco Belt | has | estimated 1.18 trillion barrels of oil in place
PDVSA | is_a | fourth largest oil company in the world
Carabobo | known_for | extra Heavy crude oils
extra Heavy crude oils | has | average specific gravity between 4 and 16 °API
Orinoco Belt | holds | 90% of the world's extra heavy crude oils
Orinoco Belt | has | estimated 256 billion recoverable barrels
Sinclair Oil Corporation | founded by | Harry F. Sinclair
Sinclair Oil Corporation | formed by | 11 small petroleum companies
Sinclair Oil Corporation | original location | New York
Sinclair Oil Corporation | reincorporated in | Wyoming
Sinclair Oil Corporation | logo features | silhouette of a large green dinosaur
101 Ranch Oil Company | founded by | E. W. Marland
101 Ranch Oil Company | founding date | 1906
101 Ranch Oil Company | located on | Miller Brothers 101 Ranch
101 Ranch Oil Company | discovered oil in | North Eastern Oklahoma
101 Ranch Oil Company | led to founding of | Marland Oil Company
Marland Oil Company | renamed to | Continental Oil Company
Continental Oil Company | currently known as | Conoco
Rag Sefid oil field | located in | Khuzestan Province
Rag Sefid oil field | distance from | Persian Gulf
Rag Sefid oil field | discovered in | 1963
Rag Sefid oil field | developed by | National Iranian Oil Company
Rag Sefid oil field | began production in | 1966
Rag Sefid oil field | proven reserves | 14.5 billion barrels
Rag Sefid oil field | production rate | 180000 oilbbl/d
Rag Sefid oil field | owned by | National Iranian Oil Company
Rag Sefid oil field | operated by | National Iranian Oil Company
The Very Best of Macy Gray | artist | Macy Gray
The Very Best of Macy Gray | released by | Epic Records
The Very Best of Macy Gray | contains | singles from first three studio albums
The Very Best of Macy Gray | contains | previously unreleased tracks
The Very Best of Macy Gray | contains | album tracks
The Very Best of Macy Gray | contains | remixes
The Very Best of Macy Gray | contains | Demons
The Very Best of Macy Gray | peaked at | number 36 on UK Albums Chart
The Very Best of Macy Gray | charted in | other European countries
Behind The Player: Duff McKagan | features | Duff McKagan
Duff McKagan | member of | Guns N' Roses
Duff McKagan | member of | Velvet Revolver
Kissed It | performed by | Macy Gray
Kissed It | from album | The Sellout
Kissed It | features | Slash
Kissed It | features | Duff McKagan
Kissed It | features | Matt Sorum
Kissed It | peaked at | number 62 on Italian Airplay Chart
Loaded | also known as | Duff McKagan's Loaded
Loaded | formed in | 1999
Loaded | includes | Duff McKagan
Loaded | includes | Mike Squires
Loaded | includes | Jeff Rouse
Loaded | includes | Isaac Carpenter
Isaac Carpenter | replaced | Geoff Reading
Velvet Revolver | has member | Slash
Velvet Revolver | has member | Duff McKagan
Velvet Revolver | has member | Matt Sorum
Velvet Revolver | has member | Dave Kushner
Velvet Revolver | has member | Scott Weiland
Slash | was member of | Guns N' Roses
Duff McKagan | was member of | Guns N' Roses
Matt Sorum | was member of | Guns N' Roses
Dave Kushner | was member of | Wasted Youth
Scott Weiland | was member of | Stone Temple Pilots
Scott Weiland | left | Velvet Revolver
Scott Weiland | rejoined | Stone Temple Pilots
Seattlehead | written by | Duff McKagan
Seattlehead | performed by | Loaded
Seattlehead | featured on | Dark Days
Seattlehead | featured on | earlier releases by Neurotic Outsiders
Seattlehead | featured on | Beautiful Disease
Duff McKagan | has band | Loaded
Loaded | genre | hard rock
Loaded | formation year | 1999
Duff McKagan | role in band | vocalist and rhythm guitarist
Duff McKagan | member of | Loaded
Duff McKagan | former member of | Guns N' Roses
Mike Squires | role in band | lead guitarist
Mike Squires | member of | Loaded
Mike Squires | former member of | Nevada Bachelors
Mike Squires | former member of | Alien Crime Syndicate
Jeff Rouse | role in band | bassist
Jeff Rouse | member of | Loaded
Jeff Rouse | former member of | Alien Crime Syndicate
Jeff Rouse | former member of | Sirens Sister
Jeff Rouse | former member of | Vendetta Red
Isaac Carpenter | role in band | drummer
Isaac Carpenter | member of | Loaded
Isaac Carpenter | former member of | Loudermilk
Isaac Carpenter | former member of | Gosling
Isaac Carpenter | former member of | The Exies
Geoff Reading | former member of | New American Shame
Geoff Reading | former member of | Green Apple Quick Step
Loaded | has released | 3 studio albums
Loaded | has released | live album
Loaded | has released | 1 extended play
Loaded | has released | 4 singles
Loaded | has released | 4 music videos
Beautiful Disease | intended as | second solo album
Beautiful Disease | artist | Duff McKagan
Beautiful Disease | release year | 1999
Duff McKagan | former role | Guns N' Roses
Beautiful Disease | status | shelved
Beautiful Disease | shelved reason | label merger
Duff McKagan | parent label | Polygram
Polygram | merged with | Universal
Demons | performed by | Fatboy Slim
Demons | features | Macy Gray
Demons | released as single from | Halfway Between the Gutter and the Stars
Demons | appears on | The Very Best of Macy Gray
Demons | appears on | The Greatest Hits - Why Try Harder
Demons | contains elements of | I Can't Write Left-Handed
The Blind Boys of Alabama | covered | Demons
Demons | featured in | Sense8
Neurotic Outsiders | founded in | 1995
Neurotic Outsiders | consists of | Steve Jones
Neurotic Outsiders | consists of | Matt Sorum
Neurotic Outsiders | consists of | Duff McKagan
Neurotic Outsiders | consists of | John Taylor
Steve Jones | member of | Sex Pistols
Matt Sorum | member of | Guns N' Roses
John Taylor | member of | Duran Duran
Linda Ronstadt | full name | Linda Maria Ronstadt
Linda Ronstadt | nationality | American
Linda Ronstadt | occupation | singer
Linda Ronstadt | genre | popular music
Linda Ronstadt | genre | country music
Linda Ronstadt | awards won | 11 Grammy Awards
Linda Ronstadt | awards won | 3 American Music Awards
Linda Ronstadt | awards won | 2 Academy of Country Music awards
Linda Ronstadt | awards won | Emmy Awards
Linda Ronstadt | awards won | ALMA Award
Linda Ronstadt | awards nominated | Tony Award
Linda Ronstadt | awards nominated | Golden Globe award
Linda Ronstadt | inducted into | Rock and Roll Hall of Fame
Linda Ronstadt | awarded | National Medal of Arts and Humanities
They Call the Wind Maria | 创作人 | Alan J. Lerner
They Call the Wind Maria | 创作人 | Frederick Loewe
They Call the Wind Maria | 所属音乐剧 | Paint Your Wagon
Paint Your Wagon | 背景设定 | California Gold Rush
They Call the Wind Maria | 原唱者 | Rufus Smith
They Call the Wind Maria | 原唱者 | Joseph Leader
They Call the Wind Maria | 受欢迎程度 | runaway hit
They Call the Wind Maria | 受众群体 | Korean War troops
Vaughan Monroe and his Orchestra | 录制 | They Call the Wind Maria
They Call the Wind Maria | 受欢迎程度 | popular hit singles at the record stores
They Call the Wind Maria | 演奏乐器 | string instruments
Eddy Arnold | full name | Richard Edward Arnold
Eddy Arnold | nationality | American
Eddy Arnold | occupation | country music
Eddy Arnold | active years | six decades
Eddy Arnold | innovation | Nashville sound
Eddy Arnold | chart achievements | 147 songs on Billboard country music charts
Eddy Arnold | records sold | more than 85 million
Eddy Arnold | member of | Grand Ole Opry
Eddy Arnold | member of | Country Music Hall of Fame
Eddy Arnold | ranking | 22nd on CMT's 40 Greatest Men of Country Music
Albert Campbell | nationality | American
Albert Campbell | occupation | popular music
Albert Campbell | active years | late 1890s to 1920s
Albert Campbell | known for | duo recordings with Henry Burr
Albert Campbell | member of | Peerless Quartet
Albert Campbell | recording type | solo singer
Albert Campbell | pseudonym | Frank Howard
J. D. Souther | full name | John David Souther
J. D. Souther | nationality | American
J. D. Souther | occupation | singer
J. D. Souther | occupation | songwriter
J. D. Souther | has written songs for | Linda Ronstadt
J. D. Souther | has written songs for | the Eagles
Riddles in the Sand | created by | Jimmy Buffett
Riddles in the Sand | release date | September 1984
Riddles in the Sand | catalog number | MCA 5512
Riddles in the Sand | produced by | Jimmy Bowen
Jimmy Bowen | occupation | country music
Riddles in the Sand | represents | shift toward country sound
Jimmy Buffett | appears on | album cover in country singer garb
Jimmy Buffett | promoted at | Fan Fair country music festival
Riddles in the Sand | original title | Gulf and Western Music
Gulf and Western Music | reflects | fusion of musical styles
Jim Harrison | wrote | liner notes
liner notes | describe | musical range from Bob Wills to Bob Marley
One Particular Harbour | 制作人 | Jimmy Buffett和Michael Utley
Jimmy Buffett | 首次参与制作专辑 | One Particular Harbour
Stars On The Water | 创作者 | Rodney Crowell
George Strait | 翻唱 | Stars On The Water
Andy Williams | 职业 | 美国流行音乐歌手
Andy Williams | 录制专辑数量 | 44张
Andy Williams | 获得金唱片认证 | 15张
Andy Williams | 获得白金唱片认证 | 3张
Andy Williams | 主持节目 | The Andy Williams Show
Andy Williams | 全球唱片销量 | 超过1亿张
Andy Williams | 美国认证销量 | 1050万张
Jimmie Rodgers | full name | James Frederick Rodgers
Jimmie Rodgers | occupation | singer
Jimmie Rodgers | genre | popular music
Jimmie Rodgers | popularity period | late 1950s
